Feature,Is_Normal,Test_Used,Statistic,P_Value_Raw,P_Value_Adj,Significant
e_150,False,Mann-Whitney U,48606.0,2.735265817426955e-09,5.251710369459753e-07,True
e_92,True,Welch's t-test,5.601715197441901,3.440831173950538e-08,3.3031979269925167e-06,True
e_119,True,Welch's t-test,5.405112798535063,9.935003963208868e-08,6.358402536453676e-06,True
e_171,True,Welch's t-test,5.009466245606769,7.413764586882133e-07,2.846885601362739e-05,True
e_187,True,Welch's t-test,-5.043248548254784,6.346362291403325e-07,2.846885601362739e-05,True
e_42,True,Welch's t-test,4.3582638126083415,1.5846910712766478e-05,0.00043697325507397703,True
e_110,True,Welch's t-test,4.357527681644042,1.5931316591238746e-05,0.00043697325507397703,True
e_74,True,Welch's t-test,4.274921297498035,2.2835925918080503e-05,0.0005480622220339321,True
e_26,False,Mann-Whitney U,29881.0,3.805822193433932e-05,0.0008119087345992388,True
e_7,False,Mann-Whitney U,29958.0,4.550912382750964e-05,0.0008737751774881851,True
e_91,False,Mann-Whitney U,30340.0,0.00010785220060909296,0.0017256352097454874,True
e_54,True,Welch's t-test,-3.9146183315015883,0.00010376606980384384,0.0017256352097454874,True
e_56,False,Mann-Whitney U,30444.0,0.00013546609754043433,0.0020007300559817995,True
e_39,True,Welch's t-test,-3.819989775740717,0.00014935797155838726,0.0020483378956578824,True
e_73,False,Mann-Whitney U,30591.0,0.00018602295657942517,0.002293863542801195,True
e_100,True,Welch's t-test,3.7586379484581265,0.00019115529523343292,0.002293863542801195,True
e_90,True,Welch's t-test,3.6314357897668157,0.00031020911862486263,0.003503538280939625,True
e_180,True,Welch's t-test,-3.5596492507282482,0.0004061141919608077,0.004025680086648727,True
e_48,True,Welch's t-test,-3.5506830056213947,0.0004193416756925757,0.004025680086648727,True
e_120,True,Welch's t-test,3.566624948296183,0.0003945529524726629,0.004025680086648727,True
e_135,True,Welch's t-test,3.495101121019872,0.0005133401795188485,0.004693395927029472,True
e_82,False,Mann-Whitney U,43762.0,0.0008296985066708516,0.007241005149127432,True
e_183,False,Mann-Whitney U,31385.0,0.0009315032185079406,0.007776026867544547,True
e_46,True,Welch's t-test,-3.244287164896416,0.0012547646757952039,0.009840803756449763,True
e_32,False,Mann-Whitney U,31553.0,0.0012813546557877296,0.009840803756449763,True
e_84,False,Mann-Whitney U,43497.0,0.0013731665625801377,0.010140306923668711,True
e_61,True,Welch's t-test,-3.1753886619734697,0.0015862330530670178,0.010877026649602408,True
e_154,True,Welch's t-test,-3.1789744654930154,0.0015680602891437164,0.010877026649602408,True
e_1,True,Welch's t-test,-3.1487527785682423,0.0017379620624558925,0.01150650744798384,True
e_106,False,Mann-Whitney U,31770.0,0.0019126707192513915,0.012241092603208905,True
e_128,True,Welch's t-test,3.0973318366776206,0.002058666008252765,0.0124509624647462,True
e_77,True,Welch's t-test,-3.0940102729004044,0.002075160410791033,0.0124509624647462,True
e_153,False,Mann-Whitney U,43193.0,0.0023909813872529163,0.013911164434926059,True
e_36,False,Mann-Whitney U,31930.0,0.0025490734612787216,0.014394767781338663,True
e_136,True,Welch's t-test,-3.0208121650498767,0.0026587201601744426,0.014584979164385514,True
e_146,True,Welch's t-test,2.8911930943339907,0.004004356254857991,0.021356566692575952,True
e_23,True,Welch's t-test,2.8153719503005386,0.005052155690747364,0.02621659169252686,True
e_124,False,Mann-Whitney U,42727.0,0.005331454551412837,0.026924367423043813,True
e_63,True,Welch's t-test,-2.7895042306839986,0.005469012132805775,0.026924367423043813,True
e_2,True,Welch's t-test,2.7305528299373636,0.006535810132267719,0.03137188863488505,True
e_76,True,Welch's t-test,2.7197348922287485,0.006752688852169247,0.03162234779552428,True
e_40,False,Mann-Whitney U,42280.0,0.010896706359671448,0.049813514787069475,True
e_125,True,Welch's t-test,-2.5395686112738423,0.011396884007427471,0.05088841231223429,False
e_118,False,Mann-Whitney U,32962.0,0.013790731813371931,0.06017773882198661,False
e_137,False,Mann-Whitney U,33123.0,0.017495880763729346,0.07246609980335313,False
e_78,True,Welch's t-test,-2.3896100227484824,0.017207739538764838,0.07246609980335313,False
e_155,True,Welch's t-test,2.3788137932483124,0.017739097347695815,0.07246609980335313,False
e_94,True,Welch's t-test,-2.3362646092187784,0.01985292971786642,0.07941171887146568,False
e_41,True,Welch's t-test,2.320828876148061,0.020693824251882077,0.08108600523186447,False
