Feature,AUC,Max_Accuracy,Precision_at_Max_Acc,Best_Threshold
e_150,0.6473290982460346,0.6431159420289855,0.6530054644808743,-0.6268898
e_82,0.5828172653055789,0.6322463768115942,0.6409574468085106,-18.484344
e_187,0.6235167206040992,0.6231884057971014,0.6353887399463807,3.9979186
e_119,0.6290036890540307,0.6195652173913043,0.6402266288951841,-6.7130322
e_92,0.631667265971473,0.6123188405797102,0.6727272727272727,14.423455
e_106,0.5768908066642695,0.6105072463768116,0.6192893401015228,11.6476345
e_54,0.6036997083383275,0.6086956521739131,0.6115107913669064,-14.4101715
e_26,0.6020482906495133,0.6086956521739131,0.6035634743875279,-20.899958
e_183,0.5820181922303461,0.605072463768116,0.6366366366366366,18.890656
e_36,0.5747599451303156,0.605072463768116,0.6206896551724138,-0.59902066
e_100,0.5909678106729528,0.6032608695652174,0.6108374384236454,-16.740372
e_180,0.5882909158709231,0.6014492753623188,0.592901878914405,-15.876597
e_136,0.5640124122684353,0.6014492753623188,0.6077481840193705,-8.817801
e_37,0.5284403425359915,0.6014492753623188,0.5906313645621182,-18.55301
e_74,0.6009961777671234,0.5996376811594203,0.6023255813953489,-8.453633
e_91,0.595935381623983,0.5996376811594203,0.6257142857142857,-12.315318
e_128,0.5830037156897998,0.5996376811594203,0.6009174311926605,12.921108
e_32,0.5797807876196945,0.5996376811594203,0.6139896373056994,-17.53851
e_153,0.5752393889754551,0.5996376811594203,0.5960698689956332,-26.820797
e_154,0.5750396207066469,0.5996376811594203,0.61,2.1461844
e_56,0.5945503216269128,0.5978260869565217,0.6009280742459396,-16.500906
e_73,0.5925925925925926,0.5978260869565217,0.639871382636656,-13.333389
e_90,0.5920731950936913,0.5960144927536232,0.5899581589958159,-1.4077969
e_148,0.5414785515468723,0.5960144927536232,0.5888429752066116,-18.714678
e_171,0.6123163796662539,0.5942028985507246,0.5883575883575883,-16.463865
e_46,0.5874252533727542,0.5942028985507246,0.5938189845474614,-9.427515
e_6,0.5640790016913715,0.5942028985507246,0.5959367945823928,-6.841591
e_182,0.5504414878740662,0.5942028985507246,0.5942350332594235,-13.512273
e_110,0.602221423149147,0.592391304347826,0.5954545454545455,-7.1973305
e_7,0.6010228135362979,0.592391304347826,0.6438356164383562,-8.318623
e_48,0.5909944464421272,0.592391304347826,0.6153846153846154,16.433191
e_1,0.5756522433976587,0.592391304347826,0.5836653386454184,-22.142506
e_146,0.5706447187928669,0.592391304347826,0.6088082901554405,-2.1383743
e_52,0.5484171694168098,0.592391304347826,0.5963302752293578,5.4802237
e_178,0.5128051460306045,0.592391304347826,0.5897435897435898,-19.845713
e_83,0.5061195679678241,0.592391304347826,0.5929203539823009,-27.215403
e_88,0.5006991889408288,0.592391304347826,0.5843373493975904,-10.091293
e_42,0.6064565104478805,0.5905797101449275,0.588865096359743,-7.694221
e_40,0.5630801603473304,0.5905797101449275,0.5896328293736501,-4.815958
e_139,0.5537975947900435,0.5887681159420289,0.5907079646017699,-25.232655
